,id,name,winningTeam,Map.fileName,Map.scriptName,durationMs,startTime
0,a8619c644e604394dafd4a5f228abc2c,MSPR,True,Entrenched_Plains_V2,Entrenched_Plains_V2,2300400,2023-06-28T16:36:56.000Z
1,d5599c641b92ef3e45dbde474cb270c6,MSPR,True,bismuth_valley_v2.2,Bismuth Valley v2.2,1543033,2023-06-28T16:03:33.000Z
2,f3519c6407c787740dc03f529ab36ffd,MSPR,True,to_kill_the_middle_v1.0,To Kill The Middle v1.0,1287633,2023-06-28T15:29:55.000Z
3,234c9c6481afe58d624e6f6157fe0bc7,MSPR,False,dsdr_4.1,DSDR 4.1,906633,2023-06-28T15:05:07.000Z
4,8eba9464ecfb13126284e30ed0d61ec8,MSPR,True,throne_v8,Throne_V8,3928033,2023-06-22T21:18:06.000Z
5,a58894640109b2c645ee27263dc6cbc1,MSPR,False,all_that_glitters_v2.1,All That Glitters v2.1,2540367,2023-06-22T17:45:09.000Z
6,7c419364041dbd95d0e1422bd9fe83c0,MSPR,False,supreme_strait_v1.4,Supreme Strait v1.4,1275700,2023-06-21T18:29:16.000Z
7,513b9364a6fb7e52a25b0218b40cb3f6,MSPR,False,supreme_strait_v1.4,Supreme Strait v1.4,1227700,2023-06-21T18:02:57.000Z
8,5e349364e779ead79aba463eb6d4f31a,MSPR,True,supreme_strait_v1.4,Supreme Strait v1.4,1376633,2023-06-21T17:33:18.000Z
9,c52092647538362e5120bc82cddf005b,MSPR,True,barr_1.1,BarR 1.1,1492900,2023-06-20T21:57:25.000Z
10,fb199264ff0578f1fc9f8bc953ca599b,MSPR,False,dsdr_4.1,DSDR 4.1,1569367,2023-06-20T21:28:27.000Z
11,c215926472463dbb6ab469085d56b18c,MSPR,True,dsdr_4.1,DSDR 4.1,551700,2023-06-20T21:10:26.000Z
12,630f9264d3c49ba18a190d85df6753bf,MSPR,True,koom_valley_3_3.1,Koom Valley 3 3.1,893133,2023-06-20T20:43:15.000Z
13,8e0692642a0d40d51be16620947e0fbb,MSPR,True,Rosetta1.4,Rosetta 1.4,1835467,2023-06-20T20:05:34.000Z
14,eedd9164987faa63438edfa7245063c1,MSPR,True,darkside_v3.0,Darkside v3.0,2997533,2023-06-20T17:12:14.000Z
15,a0438f64faa06cbe06677d6c2708d628,MSPR,False,Cirolata 1.02,Cirolata 1.02,821967,2023-06-18T17:49:20.000Z
16,3e3e8f6493a99c7c361b8a7d82de7ed2,MSPR,True,dsdr_4.1,DSDR 4.1,689433,2023-06-18T17:26:22.000Z
17,f32f8f64f412a41a030e2b064c5af7d8,MSPR,True,koom_valley_3_3.1,Koom Valley 3 3.1,2519267,2023-06-18T16:25:23.000Z
18,cb718e64dd5017fba7ebebff48b4fd7b,MSPR,True,comet_catcher_remake_1.8,Comet Catcher Remake 1.8,1008233,2023-06-18T02:54:03.000Z
19,ff6b8e6427dbe760f9c3aa8a043278d7,MSPR,False,comet_catcher_remake_1.8,Comet Catcher Remake 1.8,1074533,2023-06-18T02:29:19.000Z
20,81628e64b9063c4de66d2214ede1cef5,MSPR,False,comet_catcher_remake_1.8,Comet Catcher Remake 1.8,826467,2023-06-18T01:48:49.000Z
21,e4c18d64cddd2ab9113900f0a4b4fe7f,MSPR,False,acidicquarry_5.16,AcidicQuarry 5.16,2004600,2023-06-17T14:23:32.000Z
22,3e088d646c31d06e80d112661aeec368,MSPR,False,supreme_strait_v1.4,Supreme Strait v1.4,2711200,2023-06-17T01:11:26.000Z
23,0fff8c6437eba1c35761c8b6369217cc,MSPR,True,starwatcher_1.0,Starwatcher 1.0,1721067,2023-06-17T00:32:15.000Z
24,7bac8b649a4d74b0ea4b5fb1a6d263e8,MSPR,True,Rosetta1.4,Rosetta 1.4,2291133,2023-06-16T00:27:39.000Z
25,e0a28b648f4fc252b23c415a2f5a9887,MSPR,True,koom_valley_3_3.1,Koom Valley 3 3.1,1398700,2023-06-15T23:46:40.000Z
26,169e8b643d217e1a4323271915fe50ba,MSPR,True,all_that_glitters_v2.1,All That Glitters v2.1,840833,2023-06-15T23:26:14.000Z
27,548e8b64ac2e82ee1009bce7cd07caa2,MSPR,False,Mediterraneum_V1,Mediterraneum_V1,3855367,2023-06-15T22:19:00.000Z
28,f0808b641b828fb79ed5e402a2741299,MSPR,False,throne_v8,Throne_V8,2378800,2023-06-15T21:21:52.000Z
29,b0778b649b7166780a9a3138df4b7484,MSPR,False,all_that_glitters_v2.1,All That Glitters v2.1,1213100,2023-06-15T20:42:24.000Z
30,356d8b64d146305238b3d517da0e8ff4,MSPR,False,all_that_glitters_v2.1,All That Glitters v2.1,2357567,2023-06-15T19:57:41.000Z
31,1d4e8b64280c4c3925423f13b0da58f8,MSPR,True,comet_catcher_remake_1.8,Comet Catcher Remake 1.8,1048767,2023-06-15T17:45:01.000Z
32,dd488b644d1247f91101f282596d7237,MSPR,False,comet_catcher_remake_1.8,Comet Catcher Remake 1.8,1053667,2023-06-15T17:22:37.000Z
