,id,name,winningTeam,Map.fileName,Map.scriptName,durationMs,startTime
0,c4fba1640df15ffb2dcea5093ec548e0,Raikoh,True,ice_scream_v2.5,Ice Scream v2.5,773200,2023-07-02T22:35:48.000Z
1,4df4a16411d11504ad0aacf70ece06d0,Raikoh,True,forge_v1.4,Forge v1.4,1384900,2023-07-02T22:03:57.000Z
2,2beea1640ca3b602a92ff80fe15ab8ed,Raikoh,False,hades_ponds_0.7,Hades Ponds 0.7,1184267,2023-07-02T21:37:47.000Z
3,0fbca164bc08f64ca0aa67d41f2cb5f6,Raikoh,True,Rosetta1.4,Rosetta 1.4,2825267,2023-07-02T18:03:59.000Z
4,c485a16417be1a4e50c9a3b1b4609765,Raikoh,True,carrot_mountains_v1.0,Carrot Mountains v1.0,2537667,2023-07-02T14:12:20.000Z
5,3e7fa164033fda08c4593852ebec7d80,Raikoh,False,Twin Lakes Park Redux 1.2,Twin Lakes Park Redux 1.2,1086767,2023-07-02T13:44:30.000Z
6,7a78a164304cb0b510669e40bdb467ee,Raikoh,True,Rosetta1.4,Rosetta 1.4,1379567,2023-07-02T13:15:38.000Z
7,b272a16408ba4df09d3c6494310516ef,Raikoh,False,NuclearWinterR,Nuclear Winter Bar 1.4,841400,2023-07-02T12:50:58.000Z
8,faa2a0641089ea5ce5d080a025139269,Raikoh,True,dsdr_4.1,DSDR 4.1,2521067,2023-07-01T22:04:42.000Z
9,339da064d483a6ce6466bb780c22ef0e,Raikoh,False,koom_valley_3_3.1,Koom Valley 3 3.1,1034700,2023-07-01T21:40:03.000Z
10,e496a064c16a7bba1973cd43cfd7ebc4,Raikoh,False,forge_v1.4,Forge v1.4,1049600,2023-07-01T21:13:08.000Z
11,1827a0644b5b91ecc40a4a32e2ed4efe,Raikoh,True,koom_valley_3_3.1,Koom Valley 3 3.1,697767,2023-07-01T13:16:08.000Z
12,7719a064a8b9b3cc73fc0570a5e05071,Raikoh,True,forge_v1.4,Forge v1.4,2797867,2023-07-01T12:17:59.000Z
13,4813a064cfa9d03d99db8a092b76d8a3,Raikoh,False,bismuth_valley_v2.2,Bismuth Valley v2.2,1299867,2023-07-01T11:51:36.000Z
14,1d789f649df62c4fe69a1d8c2c79c4e1,Raikoh,True,dsdr_4.1,DSDR 4.1,1187967,2023-07-01T00:49:33.000Z
15,cc629f64e8099a879aab9f9da0353a97,Raikoh,True,bismuth_valley_v2.2,Bismuth Valley v2.2,779933,2023-06-30T23:18:36.000Z
16,6a5a9f643e2b0940c0fb5a7fd14bb36a,Raikoh,False,Rosetta1.4,Rosetta 1.4,1493533,2023-06-30T22:42:50.000Z
17,aa549f64336ce0037d868dfe1d95db8a,Raikoh,False,ascendancy_v2.0,Ascendancy v2.0,945567,2023-06-30T22:18:18.000Z
