,id,name,winningTeam,Map.fileName,Map.scriptName,durationMs,startTime
0,9f0fa164aaff8e8c4540afbd8f52c0a9,Snoopa,True,white_fire_remake_1.2,White Fire Remake 1.2,1847967,2023-07-02T05:48:15.000Z
1,5105a164dba03ad2691de20b34cc32d7,Snoopa,True,eight_horses_1.2,Eight Horses 1.2,2022167,2023-07-02T05:04:17.000Z
2,0901a164053f745a1bd0a1ec2f3bf894,Snoopa,False,all_that_glitters_v2.1,All That Glitters v2.1,658367,2023-07-02T04:46:01.000Z
3,ef7f9f6423b4ac08f02af4a9f9c1c7ff,Snoopa,True,bismuth_valley_v2.2,Bismuth Valley v2.2,1499900,2023-07-01T01:22:55.000Z
4,1d789f649df62c4fe69a1d8c2c79c4e1,Snoopa,False,dsdr_4.1,DSDR 4.1,1187967,2023-07-01T00:49:33.000Z
5,8b709f64196bfd2b5307466c2216620c,Snoopa,False,Entrenched_Plains_V2,Entrenched_Plains_V2,1419800,2023-07-01T00:17:15.000Z
6,1f679f643ab090679f7c32bfa9002d53,Snoopa,False,ascendancy_v2.0,Ascendancy v2.0,1928567,2023-06-30T23:37:03.000Z
7,b6d39e64c46d320db76ab302493326ce,Snoopa,False,supreme_strait_v1.4,Supreme Strait v1.4,2566033,2023-06-30T13:08:06.000Z
8,c2c99e640eb1743ebd323f6829ce0f77,Snoopa,False,great_divide_v1,Great Divide V1,1351600,2023-06-30T12:25:38.000Z
9,49739d64f035006ac76a7ebc65c26d5a,Snoopa,True,supreme_strait_v1.4,Supreme Strait v1.4,1179667,2023-06-29T12:04:25.000Z
10,626e9d6472deb6abe2d77739fe59b71b,Snoopa,False,dsdr_4.1,DSDR 4.1,726433,2023-06-29T11:43:30.000Z
11,b9189c64163d5657f9f111508a64fb04,Snoopa,True,all_that_glitters_v2.1,All That Glitters v2.1,989400,2023-06-28T11:25:45.000Z
12,160d9c6439badce4faa09051de833151,Snoopa,True,eight_horses_1.2,Eight Horses 1.2,2658967,2023-06-28T10:36:06.000Z
13,fe059c640d60fcae4ed9203ed24ab70b,Snoopa,False,dsdr_4.1,DSDR 4.1,1082833,2023-06-28T10:05:50.000Z
14,46c09a64b25e64ea58f6972685f4ac54,Snoopa,True,bismuth_valley_v2.2,Bismuth Valley v2.2,1071100,2023-06-27T10:56:06.000Z
15,53b89a64dd4aa124b23ec1a7c6040392,Snoopa,True,Rosetta1.4,Rosetta 1.4,1527300,2023-06-27T10:22:11.000Z
16,d5ae9a64c76ab0dbe18acbddd47a8008,Snoopa,False,white_fire_remake_1.1,White Fire Remake 1.1,1758767,2023-06-27T09:41:41.000Z
17,91a79a647cfa2b2ab5be2c1f23138295,Snoopa,False,white_fire_remake_1.1,White Fire Remake 1.1,1252500,2023-06-27T09:10:41.000Z
